clase,grupo,cuenta,subcuenta,auxiliar,nombre,tipo,nivel,padre_id,descripcion,estado,codigo,registra_tercero,nombre_clase,REG
1,,,,,ACTIVO ,activo,1,1,"Descripcion.Recursos y bienes de la empresa con los que espera generar beneficios futuros.
 Nat. Débito
 Forma de Uso. Se carga (débito) cuando se incrementan los activos y se abona (crédito) cuando disminuyen.",1,1,0,Clase 1,1
1,11,,,,DISPONIBLE ,activo,2,1,Descripcion.Efectivo y equivalentes de efectivo disponibles de inmediato. Nat. Débito Forma de Uso. Se utiliza para controlar el efectivo y saldos bancarios.,1,11,0,Clase 1,2
1,11,05,,,CAJA ,activo,3,1,Descripcion.Dinero en efectivo disponible. Nat. Débito Forma de Uso. Registra entradas y salidas de efectivo en caja.,1,1105,0,Clase 1,3
1,11,05,05,,CAJA GENERAL ,activo,4,1,,1,110505,0,Clase 1,4
1,11,05,05,01,Caja General,activo,5,1,,1,11050501,1,Clase 1,5
1,11,05,10,,CAJAS MENORES ,activo,4,1,,1,110510,0,Clase 1,6
1,11,05,10,01,Cajas Menores ,activo,5,1,,1,11051001,1,Clase 1,7
1,11,05,15,,MONEDA EXTRANJERA ,activo,4,1,,1,110515,0,Clase 1,8
1,11,05,15,01,Moneda Extranjera ,activo,5,1,,1,11051501,1,Clase 1,9
1,11,10,,,BANCOS ,activo,3,1,Descripcion.Dinero en cuentas bancarias corrientes. Nat. Débito Forma de Uso. Registra depósitos y retiros en cuentas corrientes.,1,1110,0,Clase 1,10
1,11,10,05,,MONEDA NACIONAL ,activo,4,1,,1,111005,0,Clase 1,11
1,11,10,05,01,Moneda Nacional ,activo,5,1,,1,11100501,1,Clase 1,12
1,11,10,10,,MONEDA EXTRANJERA ,activo,4,1,,1,111010,0,Clase 1,13
1,11,10,10,01,Moneda Extranjera ,activo,5,1,,1,11101001,1,Clase 1,14
1,11,15,,,REMESAS EN TRANSITO ,activo,3,1,,1,1115,0,Clase 1,15
1,11,15,05,,MONEDA NACIONAL ,activo,4,1,,1,111505,0,Clase 1,16
1,11,15,05,01,Moneda Nacional ,activo,5,1,,1,11150501,1,Clase 1,17
1,11,15,10,,MONEDA EXTRANJERA ,activo,4,1,,1,111510,0,Clase 1,18
1,11,15,10,01,Moneda Extranjera ,activo,5,1,,1,11151001,1,Clase 1,19
1,11,20,,,CUENTAS DE AHORRO ,activo,3,1,Descripcion.Dinero en cuentas de ahorro. Nat. Débito Forma de Uso. Controla los saldos en cuentas de ahorro de la empresa.,1,1120,0,Clase 1,20
1,11,20,05,,BANCOS ,activo,4,1,,1,112005,0,Clase 1,21
1,11,20,05,01,Bancos ,activo,5,1,,1,11200501,1,Clase 1,22
1,11,20,10,,CORPORACIONES DE AHORRO Y VIVIENDA ,activo,4,1,,1,112010,0,Clase 1,23
1,11,20,10,01,Corporaciones De Ahorro Y Vivienda ,activo,5,1,,1,11201001,1,Clase 1,24
1,11,20,15,,ORGANISMOS COOPERATIVOS FINANCIEROS ,activo,4,1,,1,112015,0,Clase 1,25
1,11,20,15,01,Organismos Cooperativos Financieros ,activo,5,1,,1,11201501,1,Clase 1,26
1,11,25,,,FONDOS ,activo,3,1,,1,1125,0,Clase 1,27
1,11,25,05,,ROTATORIOS MONEDA NACIONAL ,activo,4,1,,1,112505,0,Clase 1,28
1,11,25,05,01,Rotatorios Moneda Nacional ,activo,5,1,,1,11250501,1,Clase 1,29
1,11,25,10,,ROTATORIOS MONEDA EXTRANJERA ,activo,4,1,,1,112510,0,Clase 1,30
1,11,25,10,01,Rotatorios Moneda Extranjera ,activo,5,1,,1,11251001,1,Clase 1,31
1,11,25,15,,ESPECIALES MONEDA NACIONAL ,activo,4,1,,1,112515,0,Clase 1,32
1,11,25,15,01,Especiales Moneda Nacional ,activo,5,1,,1,11251501,1,Clase 1,33
1,11,25,20,,ESPECIALES MONEDA EXTRANJERA ,activo,4,1,,1,112520,0,Clase 1,34
1,11,25,20,01,Especiales Moneda Extranjera ,activo,5,1,,1,11252001,1,Clase 1,35
1,11,25,25,,DE AMORTIZACION MONEDA NACIONAL ,activo,4,1,,1,112525,0,Clase 1,36
1,11,25,25,01,De Amortizacion Moneda Nacional ,activo,5,1,,1,11252501,1,Clase 1,37
1,11,25,30,,DE AMORTIZACION MONEDA EXTRANJERA ,activo,4,1,,1,112530,0,Clase 1,38
1,11,25,30,01,De Amortizacion Moneda Extranjera ,activo,5,1,,1,11253001,1,Clase 1,39
1,12,,,,INVERSIONES ,activo,2,1,Descripcion.Recursos invertidos para generar rentabilidad. Nat. Débito Forma de Uso. Registra inversiones temporales y permanentes.,1,12,0,Clase 1,40
1,12,05,,,ACCIONES ,activo,3,1,Descripcion.Inversiones en bonos-CDT u otros instrumentos. Nat. Débito Forma de Uso. Registra inversiones que generan ingresos fijos.,1,1205,0,Clase 1,41
1,12,05,05,,AGRICULTURA- GANADERIA- CAZA Y SILVICULTURA ,activo,4,1,,1,120505,0,Clase 1,42
1,12,05,05,01,Agricultura- Ganaderia- Caza Y Silvicultura ,activo,5,1,,1,12050501,1,Clase 1,43
1,12,05,10,,PESCA ,activo,4,1,,1,120510,0,Clase 1,44
1,12,05,10,01,Pesca ,activo,5,1,,1,12051001,1,Clase 1,45
1,12,05,15,,EXPLOTACION DE MINAS Y CANTERAS ,activo,4,1,,1,120515,0,Clase 1,46
1,12,05,15,01,Explotacion De Minas Y Canteras ,activo,5,1,,1,12051501,1,Clase 1,47
1,12,05,20,,INDUSTRIA MANUFACTURERA ,activo,4,1,,1,120520,0,Clase 1,48
1,12,05,20,01,Industria Manufacturera ,activo,5,1,,1,12052001,1,Clase 1,49
1,12,05,25,,SUMINISTRO DE ELECTRICIDAD- GAS Y AGUA ,activo,4,1,,1,120525,0,Clase 1,50
1,12,05,25,01,Suministro De Electricidad- Gas Y Agua ,activo,5,1,,1,12052501,1,Clase 1,51
1,12,05,30,,CONSTRUCCION ,activo,4,1,,1,120530,0,Clase 1,52
1,12,05,30,01,Construccion ,activo,5,1,,1,12053001,1,Clase 1,53
1,12,05,35,,COMERCIO AL POR MAYOR Y AL POR MENOR ,activo,4,1,,1,120535,0,Clase 1,54
1,12,05,35,01,Comercio Al Por Mayor Y Al Por Menor ,activo,5,1,,1,12053501,1,Clase 1,55
1,12,05,40,,HOTELES Y RESTAURANTES ,activo,4,1,,1,120540,0,Clase 1,56
1,12,05,40,01,Hoteles Y Restaurantes ,activo,5,1,,1,12054001,1,Clase 1,57
1,12,05,45,,TRANSPORTE- ALMACENAMIENTO Y COMUNICACIONES ,activo,4,1,,1,120545,0,Clase 1,58
1,12,05,45,01,Transporte- Almacenamiento Y Comunicaciones ,activo,5,1,,1,12054501,1,Clase 1,59
1,12,05,50,,ACTIVIDAD FINANCIERA ,activo,4,1,,1,120550,0,Clase 1,60
1,12,05,50,01,Actividad Financiera ,activo,5,1,,1,12055001,1,Clase 1,61
1,12,05,55,,ACTIVIDADES INMOBILIARIAS- EMPRESARIALES Y DE ALQUILER ,activo,4,1,,1,120555,0,Clase 1,62
1,12,05,55,01,Actividades Inmobiliarias- Empresariales Y De Alquiler ,activo,5,1,,1,12055501,1,Clase 1,63
1,12,05,60,,ENSEÑANZA ,activo,4,1,,1,120560,0,Clase 1,64
1,12,05,60,01,Enseñanza ,activo,5,1,,1,12056001,1,Clase 1,65
1,12,05,65,,SERVICIOS SOCIALES Y DE SALUD ,activo,4,1,,1,120565,0,Clase 1,66
