codigo,nombre,tipo,nivel,padre_codigo,descripcion,estado,es_debito,registra_tercero
1,ACTIVO ,activo,1,null,Recursos y bienes de la empresa con los que espera generar beneficios futuros.
 Nat. Debito
 Forma de Uso. Se carga (debito) cuando se incrementan los activos y se abona (credito) cuando disminuyen.,1,1,0
11,DISPONIBLE ,activo,2,1,Efectivo y equivalentes de efectivo disponibles de inmediato. Nat. Debito Forma de Uso. Se utiliza para controlar el efectivo y saldos bancarios.,1,1,0
1105,CAJA ,activo,3,11,Dinero en efectivo disponible. Nat. Debito Forma de Uso. Registra entradas y salidas de efectivo en caja.,1,1,0
110505,CAJA GENERAL ,activo,4,1105,,1,1,0
11050501,Caja General,activo,5,110505,,1,1,1
110510,CAJAS MENORES ,activo,4,1105,,1,1,0
11051001,Cajas Menores ,activo,5,110510,,1,1,1
110515,MONEDA EXTRANJERA ,activo,4,1105,,1,1,0
11051501,Moneda Extranjera ,activo,5,110515,,1,1,1
1110,BANCOS ,activo,3,11,Dinero en cuentas bancarias corrientes. Nat. Debito Forma de Uso. Registra depositos y retiros en cuentas corrientes.,1,1,0
111005,MONEDA NACIONAL ,activo,4,1110,,1,1,0
11100501,Moneda Nacional ,activo,5,111005,,1,1,1
111010,MONEDA EXTRANJERA ,activo,4,1110,,1,1,0
11101001,Moneda Extranjera ,activo,5,111010,,1,1,1
1115,REMESAS EN TRANSITO ,activo,3,11,,1,1,0
111505,MONEDA NACIONAL ,activo,4,1115,,1,1,0
11150501,Moneda Nacional ,activo,5,111505,,1,1,1
111510,MONEDA EXTRANJERA ,activo,4,1115,,1,1,0
11151001,Moneda Extranjera ,activo,5,111510,,1,1,1
1120,CUENTAS DE AHORRO ,activo,3,11,Dinero en cuentas de ahorro. Nat. Debito Forma de Uso. Controla los saldos en cuentas de ahorro de la empresa.,1,1,0
112005,BANCOS ,activo,4,1120,,1,1,0
11200501,Bancos ,activo,5,112005,,1,1,1
112010,CORPORACIONES DE AHORRO Y VIVIENDA ,activo,4,1120,,1,1,0
11201001,Corporaciones De Ahorro Y Vivienda ,activo,5,112010,,1,1,1
112015,ORGANISMOS COOPERATIVOS FINANCIEROS ,activo,4,1120,,1,1,0
11201501,Organismos Cooperativos Financieros ,activo,5,112015,,1,1,1
1125,FONDOS ,activo,3,11,,1,1,0
112505,ROTATORIOS MONEDA NACIONAL ,activo,4,1125,,1,1,0
11250501,Rotatorios Moneda Nacional ,activo,5,112505,,1,1,1
112510,ROTATORIOS MONEDA EXTRANJERA ,activo,4,1125,,1,1,0
11251001,Rotatorios Moneda Extranjera ,activo,5,112510,,1,1,1
112515,ESPECIALES MONEDA NACIONAL ,activo,4,1125,,1,1,0
11251501,Especiales Moneda Nacional ,activo,5,112515,,1,1,1
112520,ESPECIALES MONEDA EXTRANJERA ,activo,4,1125,,1,1,0
11252001,Especiales Moneda Extranjera ,activo,5,112520,,1,1,1
112525,DE AMORTIZACION MONEDA NACIONAL ,activo,4,1125,,1,1,0
11252501,De Amortizacion Moneda Nacional ,activo,5,112525,,1,1,1
112530,DE AMORTIZACION MONEDA EXTRANJERA ,activo,4,1125,,1,1,0
11253001,De Amortizacion Moneda Extranjera ,activo,5,112530,,1,1,1
12,INVERSIONES ,activo,2,1,Recursos invertidos para generar rentabilidad. Nat. Debito Forma de Uso. Registra inversiones temporales y permanentes.,1,1,0
1205,ACCIONES ,activo,3,12,Inversiones en bonos-CDT u otros instrumentos. Nat. Debito Forma de Uso. Registra inversiones que generan ingresos fijos.,1,1,0
120505,AGRICULTURA- GANADERIA- CAZA Y SILVICULTURA ,activo,4,1205,,1,1,0
12050501,Agricultura- Ganaderia- Caza Y Silvicultura ,activo,5,120505,,1,1,1
120510,PESCA ,activo,4,1205,,1,1,0
12051001,Pesca ,activo,5,120510,,1,1,1
120515,EXPLOTACION DE MINAS Y CANTERAS ,activo,4,1205,,1,1,0
12051501,Explotacion De Minas Y Canteras ,activo,5,120515,,1,1,1
120520,INDUSTRIA MANUFACTURERA ,activo,4,1205,,1,1,0
12052001,Industria Manufacturera ,activo,5,120520,,1,1,1
120525,SUMINISTRO DE ELECTRICIDAD- GAS Y AGUA ,activo,4,1205,,1,1,0
12052501,Suministro De Electricidad- Gas Y Agua ,activo,5,120525,,1,1,1
120530,CONSTRUCCION ,activo,4,1205,,1,1,0
12053001,Construccion ,activo,5,120530,,1,1,1
120535,COMERCIO AL POR MAYOR Y AL POR MENOR ,activo,4,1205,,1,1,0
12053501,Comercio Al Por Mayor Y Al Por Menor ,activo,5,120535,,1,1,1
120540,HOTELES Y RESTAURANTES ,activo,4,1205,,1,1,0
12054001,Hoteles Y Restaurantes ,activo,5,120540,,1,1,1
120545,TRANSPORTE- ALMACENAMIENTO Y COMUNICACIONES ,activo,4,1205,,1,1,0
12054501,Transporte- Almacenamiento Y Comunicaciones ,activo,5,120545,,1,1,1
120550,ACTIVIDAD FINANCIERA ,activo,4,1205,,1,1,0
12055001,Actividad Financiera ,activo,5,120550,,1,1,1
120555,ACTIVIDADES INMOBILIARIAS- EMPRESARIALES Y DE ALQUILER ,activo,4,1205,,1,1,0
